"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-5-28","18.05","18.38","18.48","18.01","132.81M","-0.82%"
"2024-5-27","18.20","17.77","18.36","17.76","146.71M","2.13%"
"2024-5-24","17.82","17.60","18.03","17.59","125.71M","-0.11%"
"2024-5-23","17.84","17.56","18.01","17.36","208.25M","-3.20%"
"2024-5-22","18.43","18.65","18.77","18.33","142.48M","-1.18%"
"2024-5-21","18.65","19.41","19.56","18.57","228.37M","-4.21%"
"2024-5-20","19.47","19.43","19.77","19.10","265.24M","3.67%"
"2024-5-17","18.78","18.37","18.78","18.01","183.10M","2.79%"
"2024-5-16","18.27","18.63","18.89","18.22","193.91M","-0.16%"
"2024-5-15","18.30","18.54","18.82","18.27","138.69M","-1.03%"
"2024-5-14","18.49","18.35","18.72","18.25","147.43M","1.71%"
"2024-5-13","18.18","18.00","18.34","17.83","140.86M","-0.33%"
"2024-5-10","18.24","18.10","18.28","17.79","206.14M","2.99%"
"2024-5-9","17.71","17.28","17.91","17.28","146.59M","1.49%"
"2024-5-8","17.45","17.30","17.68","17.02","132.40M","0.00%"
"2024-5-7","17.45","17.62","17.90","17.39","152.39M","-0.40%"
"2024-5-6","17.52","17.32","17.52","16.84","260.63M","-0.51%"
"2024-4-30","17.61","17.92","18.06","17.55","169.47M","-0.28%"
"2024-4-29","17.66","18.13","18.13","17.39","225.30M","-3.34%"
"2024-4-26","18.27","17.58","18.37","17.41","266.13M","5.00%"
"2024-4-25","17.40","17.33","17.56","17.09","142.95M","-0.80%"
"2024-4-24","17.54","17.04","17.59","17.04","211.37M","2.93%"
"2024-4-23","17.04","17.41","17.65","17.00","320.10M","-4.27%"
"2024-4-22","17.80","18.87","19.00","17.75","267.73M","-4.46%"
"2024-4-19","18.63","18.56","19.33","18.40","265.31M","0.87%"
"2024-4-18","18.47","17.91","18.54","17.86","200.60M","2.16%"
"2024-4-17","18.08","17.91","18.15","17.58","215.43M","0.78%"
"2024-4-16","17.94","18.46","18.63","17.89","208.22M","-2.82%"
"2024-4-15","18.46","17.80","18.56","17.78","238.60M","0.38%"
"2024-4-12","18.39","18.48","18.58","17.98","233.78M","2.22%"
"2024-4-11","17.99","17.52","18.52","17.49","256.58M","0.00%"
"2024-4-10","17.99","17.14","18.15","17.14","264.27M","5.76%"
"2024-4-9","17.01","17.22","17.40","16.93","201.58M","-1.68%"
"2024-4-8","17.30","17.65","18.17","17.23","312.71M","-1.20%"
"2024-4-3","17.51","17.19","17.65","16.98","238.09M","3.30%"
"2024-4-2","16.95","16.95","17.15","16.76","133.76M","0.47%"
"2024-4-1","16.87","17.24","17.39","16.69","207.61M","0.30%"
"2024-3-29","16.82","16.40","16.87","16.30","209.56M","4.47%"
"2024-3-28","16.10","15.65","16.18","15.53","188.87M","2.42%"
"2024-3-27","15.72","15.46","15.89","15.44","156.14M","1.22%"
"2024-3-26","15.53","15.77","15.82","15.33","132.80M","-1.33%"
"2024-3-25","15.74","15.38","15.86","15.31","164.53M","2.27%"
"2024-3-22","15.39","15.39","15.52","15.17","177.11M","-1.47%"
"2024-3-21","15.62","15.91","16.13","15.60","199.62M","0.71%"
"2024-3-20","15.51","15.35","15.61","15.20","177.11M","-0.13%"
"2024-3-19","15.53","15.70","15.93","15.50","161.90M","-1.58%"
"2024-3-18","15.78","15.97","16.16","15.58","230.33M","-1.13%"
"2024-3-15","15.96","15.32","16.12","15.30","223.32M","3.70%"
"2024-3-14","15.39","15.25","15.78","15.25","271.92M","4.77%"
"2024-3-13","14.69","14.25","14.76","14.18","145.45M","2.30%"
"2024-3-12","14.36","14.75","14.82","14.28","204.28M","-3.36%"
"2024-3-11","14.86","15.00","15.05","14.62","153.67M","-0.20%"
"2024-3-8","14.89","14.90","14.93","14.53","169.24M","1.09%"
"2024-3-7","14.73","14.38","14.96","14.27","237.49M","3.73%"
"2024-3-6","14.20","13.85","14.36","13.84","201.79M","2.53%"
"2024-3-5","13.85","13.60","13.97","13.59","196.09M","2.90%"
"2024-3-4","13.46","13.46","13.62","13.36","131.40M","1.58%"
"2024-3-1","13.25","13.06","13.36","13.00","117.85M","1.07%"
"2024-2-29","13.11","13.02","13.20","12.96","108.12M","0.77%"
"2024-2-28","13.01","13.16","13.17","12.97","109.34M","-1.14%"
"2024-2-27","13.16","13.06","13.27","13.00","136.49M","0.08%"
"2024-2-26","13.15","13.51","13.61","13.09","146.00M","-2.59%"
"2024-2-23","13.50","13.25","13.68","13.20","137.73M","1.81%"
"2024-2-22","13.26","13.09","13.28","13.02","112.74M","1.61%"
"2024-2-21","13.05","13.06","13.29","13.01","153.99M","-0.38%"
"2024-2-20","13.10","12.80","13.18","12.72","137.08M","1.95%"
"2024-2-19","12.85","12.51","12.86","12.40","188.66M","2.80%"
"2024-2-8","12.50","12.24","12.52","12.22","191.11M","2.04%"
